,,□,家電量販店（副店長）,・大きく景気が良くなる要因はない。,,,
,,□,乗用車販売業（営業担当）,・新型車の効果もなくなり、新型車の発売もないため苦戦することが予想される。,,,
,,□,乗用車販売店（従業員）,・新車受注状況及びサービス入庫の状況は平年並みで推移すると予想する。,,,
,,□,乗用車販売店（従業員）,・新型車の発売がないのも要因の一つだが、点検などの入庫も苦戦している。,,,
,,□,その他専門店［酒］（経営者）,・今年は暑さや災害により、飲物の商材がないため、なかなか売上が上昇しない。,,,
,,□,その他小売［ショッピングセンター］（副支配人）,・天候や世界的な関税競争などにより、先行きが見通しづらいこともあり不安である。,,,
,,□,観光型旅館（経営者）,・観光業は、全国の観光地との競争の中で魅力的なものやコト消費を創出していく必要がある。そのためこれからも行政に対し、観光振興に関する十分な対策を講じ、検討するということを強く求めるところである。,,,
,,□,通信会社（支店長）,・当面、変動要素は見当たらない。,,,
,,□,通信会社（営業部長）,・新商品発売で市場が活性化してくるが、今年は前年比で弱含みであると想定している。,,,
,,□,競輪競馬（マネージャー）,・利用者層の所得は年金が中心であり増加するものではなく、消費意欲は落ち着いており、変動は少ない。,,,
,,□,美容室（経営者）,・暑さが落ち着くと通常の売上に戻ると予想する。,,,
,,▲,商店街（代表者）,・流通業界は物流手段も含め大きな変革期にある。今後どのような流通社会になるか予測が立たなくなっている。,,,
,,▲,タクシー運転手,・夏と比較し、大型の観光イベントが減少することもあり、やや悪くなると判断する。,,,
,,▲,美容室（経営者）,・毎年９～11月は極端に客の動きが悪くなる。この時期、キャンペーンなどを企画するが、客の反応が薄く、集客が難しい。,,,
,,×,一般小売店［酒］（販売担当）,・夏の書き入れ時に成果が得られなかったこともあり、今後良い要素が見当たらない。,,,
,,×,コンビニ（店長）,・来店客数が減少したこともあり、売上減少が止まらない。客の購買意欲は低下しきっていると考える。,,,
"企業
動向
関連

(四国)
",,◎,食料品製造業（商品統括）,・中小食品製造業に人が集まらない。しかし、研修生制度等の基準変更や各企業の定年延長等の施策が段階的ではあるが実施されつつある。今後、より一層の働き方改革が進み消費へとつながると予想する。,,,
,,○,木材木製品製造業（営業部長）,・上期の取引先の受注量がアップしており、下期の受注量が前年並みと予定している。それに消費税増税の駆け込みも始まっており、下期は良くなると見込んでいる。,,,
,,○,パルプ・紙・紙加工品製造業（経営者）,・９月からは需要期に入るので、受注は回復すると考える。,,,
,,○,電気機械器具製造業（経営者）,・バンブーバイオマス発電所の受注が伸びており、また引き続き営業も活発に行っている。,,,
,,○,建設業（経営者）,・災害対応業務が一段落する数か月後から、売上増等の効果が徐々に現れる。,,,
,,○,輸送業（経営者）,・このままの状態が続くと予想する。,,,
,,○,輸送業（支店長）,・平成30年７月豪雨の被害によるＪＲコンテナの不通区間が解消されコンテナ輸送が通常に戻ることに加え、大型移転業務の受注もあり収入増が見込める。,,,
,,□,農林水産業（職員）,・本年は台風の発生も多いなど、気象災害が起きる確率は増している。一方、消費者の生活防衛意識は定着しており、流通取引環境が大きく変わる可能性は低い。マイナス金利はやや緩和したものの金融関係への影響は大きく、社会全体として景気が好転する材料に乏しい。,,,
,,□,食料品製造業（経営者）,・物流、資材包材、原材料費の値上がりにより原価が高騰してきているが、小売価格は上がらず、価格が下がる原材料もないため、穴埋めのできる要素がない。,,,
,,□,繊維工業（経営者）,・海外からの観光客であふれている地域、そして構造的に不景気な地域と分かれている。このような状態が続くものと考える。,,,
,,□,鉄鋼業（総務部長）,・人手不足解消にはならず、外注加工費の増加により収益を圧迫している。,,,
,,□,電気機械器具製造業（経理）,・受注量並びに事前通告された受注予測において、機種構成の入り繰りはあるものの、総量についてはおおむね安定的で大きな変動を予想していない。,,,
,,□,建設業（経営者）,・受注が上向く気配がない。,,,
,,□,輸送業（営業）,・行楽シーズンの特需や冬場に向けた季節商材の動向も上向く時期を迎えるが天候次第である。今年は例年に比べ気温の高い状態が続いており、冬場にかけ収穫時期を迎える青果物への影響が懸念される。,,,
,,□,通信業（企画・売上管理）,・現状と特段大きく変わるトピックスがない。,,,
,,□,広告代理店（経営者）,・インバウンド関連でホテルの一部改装やビジネスホテル新築に伴う販促広告は増えるものの、多くの得意先は広告費削減傾向であり、全体としては余り変わらないと予想する。,,,
,,□,公認会計士,・各企業の代表者と話をするに、訪日外国人の効果による景気の上昇について、地元温泉街や土産屋、飲食店などで上向きである。一方、豪雨の影響や人手不足が非常に心配であるということをヒアリングしている。,,,
,,▲,化学工業（所長）,・原油価格高騰のあおりで原材料価格が高騰しているが、当社のような加工メーカーでは製品への転嫁が難しく、原料アップ分の負担増加により、今後厳しくなると想定する。,,,
,,▲,金融業（副支店長）,・平成30年７月豪雨の影響が表面化してきた取引先が数社あり、中四国地区では当面このような影響が続くと考える。,,,
,,×,－,－,,,
"雇用
関連

(四国)
",,◎,－,－,,,
,,○,人材派遣会社（営業担当）,・雇用情勢は売手市場であり、企業側も優秀な人材の確保にコストをいとわない姿勢がうかがえる。,,,
,,○,人材派遣会社（営業）,・10月以降から今年度の売上見込みも見え始め、消費者ニーズに向けた事業戦略が強化される。そのため、年末に向けて景気も上向くと考える。,,,
,,□,新聞社［求人広告］（担当者）,・受注の動きがあるとすれば建設、観光業界のみであり、他一般の地元企業は厳しい状態が続くと考える。,,,
,,□,職業安定所（職員）,・賃金体系を変化させるほどの好調感はない。,,,
,,□,職業安定所（求人開発）,・７月の有効求人倍率は1.50倍で、平成28年７月以降、1.3倍以上が続き、大きな変動はない。平成30年７月豪雨の影響が想定していたほどではないと感じている。,,,
,,□,民間職業紹介機関（所長）,・高校の就職ガイダンスに参加する機会があるが、地元中小企業からの求人も前年比で増加しているようである。ただし、高校生は、大手志望が強く、またその大半が希望どおり採用になっており、中小企業に新卒者が行かない理由の一因となっている。,,,
,,□,学校［大学］（就職担当）,・本学のキャリア支援課においても追加、再募集の求人が前年以上にみられる。しかしながら、募集の条件はこれまでとほぼ同様であり、賃金アップの圧力は地方では感じない。,,,
,,▲,人材派遣会社（営業担当）,・時給が高騰しており、無期雇用の募集に影響が出ている。,,,
,,▲,求人情報誌（営業）,・人手不足に加えて、残業規制の推進により、当地の企業では更に受注業務をこなすことができない企業が増え、受注制限につながることが予想される。,,,
,,×,－,－,,,
,,,,,,,
　11．九州（地域別調査機関：公益財団法人九州経済調査協会）,,,,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,,
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由,,,
"家計
動向
関連

(九州)",,◎,乗用車販売店（販売担当）,・販売数も来客数も増加しているため、今後も売上は増え続ける。,,,
,,○,商店街（代表者）,・秋になると涼しくなるので、来店客数が回復する。それに伴い、９月に商店街でイベントを行うが、台風の心配を除けば、売上が上がることを期待している。,,,
,,○,商店街（代表者）,・これから時期的に外出することが多くなり、売上は伸びるが、今後も天候に大きく左右されることが大きいので危惧している。,,,
,,○,商店街（代表者）,・これから涼しくなり、天候次第で客の足も商店街に向くと思われるが、意見や指導を受けながら商店街発展のために努力をしていく。,,,
,,○,商店街（代表者）,・暑さも落ち着き、実りの季節に入るので、人の動きも活発になることに期待したい。,,,
,,○,商店街（代表者）,・６～８月よりは、若干良い傾向になる。,,,
,,○,一般小売店［生花］（経営者）,・生花がギフトとして需要があり、毎年状況が良くなっていくことに期待したい。現在の店舗は仮設で工事中の影響で入店しにくい状況である。10月には新店舗が完成予定で状況は良くなっていく。,,,
,,○,百貨店（営業担当）,・紳士衣料雑貨については、特選関連商品やリビング商品需要など、商品単価上昇が数量減少をカバーしており、厳選しながらの購買意欲が感じられる。お中元ギフトは８月最盛期に入り発注客数が増加し、涼を楽しむ商材や、肉、ウナギ等の元気の出る商材及び石けんが好評である。客単価減少の理由として、届け先の絞込みとギフトの多様化が強まっている。猛暑・台風でも来店不要のインターネットや通信販売での受注も好調に推移した。また、インポートブランド・貴金属・時計・美術等し好性の高い商品は依然好調で、数量、商品単価共に好調に推移しているが、慎重な購買姿勢は継続している。,,,
,,○,コンビニ（エリア担当・店長）,・10月にたばこの値上がりがあるため、９月の中旬から下旬にかけて、たばこのまとめ買いが増えていく。しかしながら10月はその反動で、客数が減少し、客単価が伸び悩み売上が前年を割ることが懸念される。,,,
,,○,衣料品専門店（取締役）,・３か月先は、このひどい８月の状況からは脱出している。季節に応じた物の需要があるが、景気自体は変わらない。,,,
,,○,家電量販店（店員）,・一部のテレビの単価が購入しやすい価格になり、最近よく売れている。ロボットクリーナーが注目を浴び、また充電付き掃除機は単価が高い物ほど多く売れている。今後、これらの商品の売上が伸びれば、販売量が下がっても単価が上がり、全体の売上に期待できる。,,,
,,○,その他小売の動向を把握できる者［土産卸売］（従業員）,・今後、気候も良くなり行楽シーズンに入るため、旅行客も増加し、売上も伸びていく。,,,
,,○,高級レストラン（経営者）,・これから暑さも和らぎ天候も次第に良くなっていくなか、県外からの客はあるが、地元の客は今一つ消費の盛り上がりに欠けている。,,,
,,○,都市型ホテル（販売担当）,・10月からは繁忙期を迎えるため、売上は８～９月より増収が見込める。,,,
,,○,旅行代理店（従業員）,・10月以降の燃油据置きの動きが見られ、若干ではあるが海外旅行の販売量が増加している。国内では東京、京阪神の出足がまずまずである。,,,
,,○,タクシー運転手,・県外等多くの人が動き始め、徐々に当地まで足を運ぶことに期待をしている。,,,
,,○,通信会社（営業担当）,・年末商戦に向けての動きが出てくる。,,,
,,○,通信会社（営業）,・景気は年末に掛けて緩やかに上昇している。ヒト・モノ・カネが動かなかった８月も終了し、株価も円も上昇トレンドである。また、米国大統領の貿易戦争に関しても、ある程度の条件は全て出尽くし、市場の不安も軽減される。,,,
,,○,観光名所（従業員）,・旅行シーズンということもあるので、団体の客が多くなる。,,,
,,○,ゴルフ場（従業員）,・季節的にも朝夕が涼しくなり、ゴルフのベストシーズンとなったため、予約状況も例年同様順調に推移している。予約の確認等、更に効率的な業務で前年を上回る数字を確保していく。,,,
,,○,美容室（経営者）,・秋になるとファッション業界は、おしゃれをする季節になり髪型等秋物の動きが出てくるので、２～３か月先の景気は回復する。,,,
,,○,住宅販売会社（従業員）,・マンションの販売では、高額物件が多く販売されているが、購入者が多ければ景気は良くなる。,,,
,,○,住宅販売会社（従業員）,・建築条件付土地分譲についても販売が順調に進んでおり、今後も消費税の引上げ前の動きで良くなっていく。,,,
,,□,商店街（代表者）,・このまま景気は停滞する。,,,
,,□,商店街（代表者）,・先行きが不透明である。,,,
,,□,一般小売店［青果］（店長）,・現在、売上は底の状態である。９～10月まで暑さは続き台風も多く、客の購買心をくすぐるような政治的等好材料が見あたらないので、横ばいか厳しい状態が続く。,,,
,,□,一般小売店［鮮魚］（店員）,・例年だと取れていた魚が取れない。魚種がかなり少なくなっている。サンマやサバも量が少ない上に、型が小さい。魚屋にとって景気の良くなる材料は見当たらない。,,,
,,□,百貨店（営業担当）,・現在の状況を認識しているが、訪日外国人等に期待したい。国内消費は変化しており、食料品にも影響が出ているところから、客の購買心理はかなり低下している。今後は、訪日外国人等の対応強化が不可欠である。,,,
,,□,百貨店（営業担当）,・来館数は継続して堅調だが購買につながっていないため、売上につなげられるかは商品の提案力による。,,,
,,□,百貨店（売場担当）,・３月から見通しが変わっておらず、現状が継続するかは不透明である。衣料品関係に限っては店舗によりかなりの差が出ている。天候の影響もあるが、衣料品関係では流行が絞られており、余り上がらない状況である。,,,
,,□,百貨店（業務担当）,・季節も変わり、モノが動き出す時期に入るが、客の反応は例年に比べて薄い。客の中には、連日の自然災害のニュース等で買物意欲を失っているという客もおり、季節の変わり目の商戦は幾分厳しくなる。,,,
,,□,百貨店（売場担当）,・例年と同様に暑さが続くことにより、秋物の動きが鈍い可能性が高く、他のプラス要素がないため現状とは変わらない。,,,
,,□,百貨店（経営企画担当）,・一部特殊要因があるものの、８月以降、来店客数及び売上共に前年を上回る水準で推移しており好調である。一方で台風や大雨といった天候リスクによるマイナス影響を補うことができず、業績に与える影響が年々大きくなっている。,,,
,,□,百貨店（マネージャー）,・訪日外国人による高額品購入の影響で売上が好調であるが、株価・為替等の変動による影響を受けやすく、この先の予測が困難である。,,,
,,□,百貨店（プロモーション担当）,・夏の暑さが続けば秋物衣料の消費が減少するが、年末年始に向けてぜいたく品の消費意欲が高まることに期待している。,,,
,,□,スーパー（店長）,・来店客数が、この半年間97％前後で推移しており、この状態は半年先も続いていく状況である。客の動向では必要以外の購入はしないが、価格ではなくグレードが高い商品を求められる。この３か月は来店客数が厳しい状況なので、催物で客を獲得して買上点数を１点でも多く購入してもらう工夫をしているが、現状は厳しい状況である。,,,
,,□,スーパー（店長）,・好材料が見当たらない。,,,
,,□,スーパー（店長）,・東京オリンピックが終わるまでは大きな変化はない。,,,
,,□,スーパー（経理担当）,・猛暑や水害の影響で既に野菜が高騰しているが、今後の見通しでは魚類も含めて供給が追い付かず高値となる可能性がある。,,,
,,□,スーパー（統括者）,・中小企業では人手不足による人件費上昇が収益を圧迫している。しかしながら、パートの収入が大きく増えても家庭の購買力アップに結び付かず、逆にガソリン価格等の支出増でその余力は削られている状況にある。そのようななかで、個人消費が改善していく状況ではない。,,,
,,□,コンビニ（経営者）,・売上が悪い状況は、天候以外にもあるが、現状で景気が改善していく状況を見いだせていない。,,,
,,□,衣料品専門店（店長）,・天気予報では９月も暑さが続き、状況は変わらない。,,,
,,□,衣料品専門店（店長）,・良くなる要素がなく、この状況がしばらく続く。,,,
,,□,家電量販店（総務担当）,・閑散期に向かうなか、その売上減少を補う対策や商品が見当たらない。,,,
,,□,家電量販店（従業員）,・冷房シーズンが終わり一旦閑散期に入るが、これから運動会シーズン等が始まり需要が増えていく。,,,
,,□,家電量販店（広報・IR担当）,・大きく伸びるような新商品が出ない。買換え需要により前年並みで推移している。,,,
,,□,乗用車販売店（総務担当）,・新型車の投入が予定されておらず、新車販売は当分厳しい状況が続く。既存車種を販売するため、自動ブレーキなどの体験イベントを実施し、客の購買意欲を喚起していく。,,,
,,□,住関連専門店（経営者）,・納入業者も材料や配送費の値上がりにより、商品価格が値上がりしている。持ち株の動きが良くない。地方では景気回復感がみられない。,,,
,,□,その他専門店［コーヒー豆］（経営者）,・暑さも収まり、秋の気配を感じられ気温も下がると、客も来店するようになり、前年と変わらないか、若干良くなる。,,,
,,□,その他専門店［ガソリンスタンド］（統括）,・今年の夏も猛暑であり、自動車等による外出の機会が減少している。秋に向かい、季候の良い９～10月の連休における客の消費に期待したい。,,,
,,□,その他専門店［ドラッグストア］（企画担当）,・猛暑による出控えも一段落するが、来店客数や季節商材の動きに改善がみられない。,,,
,,□,その他小売の動向を把握できる者［ショッピングセンター］（支配人）,・直近の売上動向として安定しない状況が続いている。今年度は天候に左右されるケースが多く、今後の動向としては不透明といわざるを得ない。一方で習い事や、携帯ショップ等のサービス業種は売上が安定しており、この傾向は継続する。,,,
,,□,その他小売の動向を把握できる者［ショッピングセンター］（統括者）,・９～10月は台風シーズンであり、今年は例年以上に台風が来ているため影響は大きいと考える。,,,
,,□,一般レストラン（経営者）,・予約状況も芳しくなく、来客数が伸び悩んでいる。,,,
,,□,一般レストラン（スタッフ）,・何も変化がない。,,,
,,□,都市型ホテル（スタッフ）,・アジア諸国からの観光客も含めて予約状況は順調に推移している。,,,
,,□,都市型ホテル（副支配人）,・現在の好調と同様に、単価も落ちることなく、半年先まで訪日外国人の予約は順調に受けている。,,,
,,□,タクシー運転手,・今の酷暑の状況が、いつまで続くかが問題である。,,,
,,□,タクシー運転手,・当地には、観光スポットが少ないが、飲食に対する評価が高く、食べ歩きツアーをする観光客が多くみられる。その反面、地元住民の動向には余り変化はない。,,,
,,□,通信会社（企画担当）,・Ｗｅｂ制作における販売量は微増したものの、対象サービスによっては受注にばらつきがあり継続して努力が必要である。,,,
,,□,通信会社（企画担当）,・季節要因以外に、変動要素がない。,,,
,,□,競艇場（職員）,・大きく変動する要素がない。,,,
,,□,美容室（経営者）,・10～11月はパーマの客が見込めるが、流行としてはパーマは支持されていない。好材料がなく悪い状況が継続する。,,,
,,□,美容室（店長）,・景気が良くなった業種もあるが、この業界では店舗が増加したため、客の引っ張り合いもあり現状維持が精一杯である。,,,
,,□,その他サービスの動向を把握できる者［介護サービス］（管理担当）,・短期的には大幅な悪化はないが、深刻化する人材確保や総合事業の移行状況によっては、業績に影響が出ることが懸念される。,,,
,,□,設計事務所（所長）,・不安定な国際情勢、被災地の復興、少子高齢化、人手不足と上向きの材料がないため懸念している。,,,
,,□,設計事務所（所長）,・現在小康状態で２～３か月先も変わらない。,,,
,,□,設計事務所（代表）,・特に好材料がない。,,,
,,▲,商店街（代表者）,・小売業の状態は、今後徐々に悪くなる。,,,
,,▲,一般小売店［茶］（販売・事務）,・異常気象が農作物にも影響を与えている。仕入価格も上がり始めており、今後市場にかなり影響がある。景気状況は不透明である。,,,
,,▲,スーパー（店長）,・消費者の節約志向は、依然として変わらず財布のひもが固い。また、競合店との競争が厳しくなり売上を確保するのが更に難しくなる状況にある。,,,
,,▲,スーパー（総務担当）,・しばらくは平成30年７月豪雨の影響が残り、その上北海道の野菜も高騰し、しばらくは回復できない状況である。競合先の出店に伴い来客数が前年まで戻らず、既存店での売上増加は難しい状況が続く。,,,
,,▲,コンビニ（経営者）,・一部公共料金の値上げや10月からのたばこの増税で客数が減少し、厳しい状況が続く。,,,
,,▲,コンビニ（店長）,・猛暑の反動で、売上が下がることが予測される。,,,
,,▲,衣料品専門店（総務担当）,・景気回復の様子を全く見いだせず、悪化の兆しがある。,,,
,,▲,家電量販店（店員）,・今回猛暑であったため、経験則から家電については需要量が多かった月の後には、景気は若干悪くなる。３か月先に寒波が早く到来するといった天候による要因でも景気は変わる。,,,
,,▲,スナック（経営者）,・７月は台風、豪雨、酷暑の影響で過去最低の売上だったが、８月はそれに比べると持ち直した。しかし、相変わらず街中を歩く人は少なく、週末もお盆前の金曜以外は前年割れである。,,,
,,▲,都市型ホテル（スタッフ）,・更なる宿泊施設の増加に伴い、平日の販売数は減少する見込みである。訪日外国人が現状維持であれば心配はないが、不安定なマーケットのため、楽観はできない。,,,
,,▲,旅行代理店（企画）,・今年度からの客の動向を推察した結果、悪くなっていく。,,,
,,▲,通信会社（業務担当）,・販売単価の下落に伴い、受注数も下降気味である。今後は通信サービス業を継続していくなかで、代理店ビジネスからの脱却が必要不可欠になってきている。,,,
,,▲,理容室（経営者）,・今月は非常に暑かったため、髪を切るサイクルが短くなり前年度比１％ほど良かった。これから涼しくなるとそのサイクルが伸びていく。客の話によると景気が良くなる気配はない。,,,
,,▲,音楽教室（管理担当）,・幼稚園や保育園への入園が決まると、お稽古ごとを辞めるパターンが多い。,,,
,,×,＊,＊,,,
"企業
動向
関連

(九州)",,◎,農林水産業（従業者）,・９月は例年市況単価が高い。商品の病気リスクも高く市場全体の出荷量が少ないことも原因である。例年であれば北海道産が市場をにぎわすところが、物流費の高騰により、九州への入荷量も少なくなる。,,,
,,○,農林水産業（経営者）,・冷凍食品メーカーや総菜メーカーは９～10月は年末需要に向けての原料の引き合いが強くなる。スーパーマーケット、居酒屋関連も秋の行楽シーズンに入るため、ある程度の需要が期待できる。原料となる鳥の品種分けが７月まで行われており、その影響が９～10月に出てくるため、工場の稼働に影響が出ないか懸念している。,,,
,,○,食料品製造業（経営者）,・商品加工の繁忙期になり、販売も季節的に売行きが伸びていく。,,,
,,○,家具製造業（従業員）,・家具業界はホテル向け家具の需要がますます増加している。当社の受注見込みも３か月先まで確実に前年比で２けた近い伸びが見込まれている。それに対し一般小売の需要は減少している。,,,
,,○,窯業・土石製品製造業（経営者）,・今年の８月の売上も２割ほど落ちており、今年最低である。９月には天候も回復し、ギフト関係にも望みができる。現在ギフト単品の受注関係が低迷している状態である。,,,
,,○,鉄鋼業（経営者）,・受注数量に回復の兆しが見え始めている。今後、分譲マンション、共同住宅等鉄筋造の建築物の受注量拡大に期待できそうである。,,,
,,○,金属製品製造業（事業統括）,・東京オリンピック関連事業の影響が出てきている。,,,
,,○,電気機械器具製造業（取締役）,・業種によっては引き続き受注状況が良好である。他部署でも受注を対応中である。,,,
,,○,輸送用機械器具製造業（営業担当）,・当初の生産計画に対して増産傾向である。また、新規車両も３か月後に生産がスタートする。,,,
,,○,通信業（職員）,・第３四半期に発注見込みの案件が複数あるため若干良くなる。,,,
,,○,金融業（営業）,・製造業は受注、設備投資共に今以上の水準で推移すると期待できる。,,,
,,○,不動産業（従業員）,・賃貸マンションの入居率が高水準で推移している。,,,
,,○,新聞社［広告］（担当者）,・新聞広告の新規申込みが少しずつ増加している。,,,
,,○,経営コンサルタント（代表取締役）,・人材に対する教育投資を積極化する企業が増えており、業績が上向きつつある客が多い状況である。,,,
,,□,一般機械器具製造業（経営者）,・ユーザー担当者は、目の前の案件をこなしているのが現状である。先の状況が見えず、しばらくこの状態が続いていく。,,,
,,□,一般機械器具製造業（経営者）,・当分、受注量はこのままの状況で推移する。,,,
,,□,電気機械器具製造業（経営者）,・３か月程度で好転する要因が乏しい状況である。,,,
,,□,精密機械器具製造業（従業員）,・将来予測は難しいが、この先の受注は、余り変動がない計画になっている。,,,
,,□,建設業（従業員）,・今後も公共工事等の発注は、今の状態がしばらく続き、解体工事についても、今後も古民家等の解体が続く。この先も現状とほぼ変わらない状況である。,,,
,,□,建設業（従業員）,・見積案件や受注も低調な時期で、今後３か月受注できる確定物件も少ない。大型物件の受注を目指していく。,,,
,,□,建設業（社員）,・第３四半期までは発注はあるが、第４四半期は発注が極端に少なく、現在の良い状況が年度末まで続くことを期待している。平準化実施に期待している。,,,
,,□,輸送業（従業員）,・ここ数年の災害などを踏まえて、各メーカーは関東・関西の２拠点から九州にも配送拠点を置き、無事に商品がエンドユーザーまで届けられるよう、緊急事態経営マニュアルの観点から九州への配送拠点を検討する企業が増えている。それにより、九州での取扱いは増加していく。,,,
,,□,輸送業（従業員）,・健康食品市場、越境ＥＣ含めた海外向け受注が引き続き好調である。メイドインジャパンブランドが強くこれまで米国産であったプロテインも日本国内で製品化し、アジアへの出荷受注が増加しており好調を維持できる状態である。,,,
,,□,輸送業（総務担当）,・残暑が厳しいため、商品の回転は速くなっていく。例年であれば秋冬商材が入庫する時期だが、見通しはまだ分からない。,,,
,,□,金融業（従業員）,・増勢が若干鈍化したが、外国人観光客が引き続き増加しており、国内旅行者も持ち直している。一方、企業の求人意欲は旺盛ながら、人材確保に苦労する企業が多く、人手不足が経営面での問題となっている。,,,
,,□,金融業（得意先担当）,・しばらくは現状維持の状況が続く。引き続き状況確認を行う。,,,
,,□,金融業（営業担当）,・不動産業に関しては、金融緩和により対象不動産に対しての融資が積極的であったが、金利競争等により金融機関の収益が下がり、マイナス金利の影響もあり収益性に問題が出ている。金融機関に関しては若干融資の引締めがあり、先々楽観視できないため景気は変わらない。,,,
,,□,金融業（調査担当）,・企業の投資姿勢や資金繰りに大きな変動はない。,,,
,,□,金融業（調査担当）,・取引先の資金需要、取り巻く環境は、ここ１年多少の上下はあるが変わらない。時流を変えるほどの大きな話題が見当たらず、今後２～３か月での大きな変化はない。ただし、東京オリンピック、東京パラリンピック以降の景気不透明感は、徐々に現実感を増している。今後心理的影響から景気下向きにならないか注視している。,,,
,,□,経営コンサルタント（社員）,・売上、客数は以前と変わらない。,,,
,,□,経営コンサルタント（社員）,・夏場は余り活発な動きが見えないのが例年の状況だが、今年はこれに猛暑が加わり更に動きが悪くなる。,,,
,,□,経営コンサルタント（代表取締役）,・８月の状況は悪かったが、天候は通常に戻り、熊本地震の復興も落ち着いてきており、状況は変わらない。,,,
,,□,その他サービス業［物品リース］（支社長）,・大きなイベントもなく、順調に推移していく。,,,
,,▲,繊維工業（営業担当）,・賃金や休暇等中小企業の生産工場には難しい問題が山積している。最低賃金が上がると、人件費も大幅に増加するため、工賃の値上げ等で対策したいが、困難なのが現状である。,,,
,,▲,その他製造業［産業廃棄物処理業］,・中国の景気や国内仕入価格の高騰を考えると、今後の計画を考えていかなければいけない。,,,
,,▲,広告代理店（従業員）,・新聞折込チラシの８月受注枚数は、年間を通して最も少ない月であり、前年比93％とやや悪くなっている。衣料品、自動車販売、家電等は比較的好調だが、健康食品、求人、教育関連、通信販売等が不調である。夏の異常気象が大きく影響している。,,,
,,×,その他サービス業［コンサルタント］（代表取締役）,・市町村の補正予算について、９月の臨時議会で議決されるが、新たな業務の見積依頼も少なく、補正予算で委託業務が計上されるか見通せない。このため、委託業務の発注がそれほどない状態が続き、景気が悪いまま推移していく。,,,
"雇用
関連

(九州)",,◎,＊,＊,,,
,,○,新聞社［求人広告］（担当者）,・夏の猛暑が終わり、秋の良い気候と連動するようにイベントめじろ押しの時期となる。景気が飛躍的に良くなることはないが、各イベントへの動員や訪日外国人、それに伴う消費動向の活発化により、景気は好調のまま若干上向いていく。,,,
,,□,人材派遣会社（社員）,・客の設備投資や人員採用の計画を聞くと、この２～３か月は積極的ではない状況である。,,,
,,□,人材派遣会社（社員）,・企業からの問合せは増加しているが、労働者派遣法の影響もあり、求職者自身も正規雇用へ切り替える動きも多い。業界自体に活気がない。,,,
,,□,人材派遣会社（社員）,・前月に続いて、注文が減っている。前年と比較すると現段階で半分以下である。お中元の状況を踏まえ、お歳暮の人員を慎重に検討する状況である。,,,
,,□,求人情報誌製作会社（編集者）,・採用が困難になっており、求人募集の長期化が始まっている。,,,
,,□,新聞社［求人広告］（担当者）,・東京オリンピックやラグビーワールドカップを始め景気浮揚への様々なイベントが企画されているが、特定の関係者の一部利権のあるところだけが潤っている。消費や景気を効率よく循環させなければ現状は変わらない。,,,
,,□,職業安定所（職員）,・新規求人について、医療・福祉業や派遣・請負業が引き続き前年度を上回る大きな伸びを示している。ただし、職種ごとの充足率をみると、建設系の技能者や作業員、警備員、調理や飲食店店員等の接客業で充足率が悪く、これらの求人は募集を続けても応募者が少ない状況が続いている。,,,
,,□,職業安定所（職員）,・人手不足を解消するために、従業員に資格を取得させ人材育成を行う企業や、業務の方法、労働条件等を様々な角度から見直し、生産性向上につなげている企業もある。小規模・零細事業所においては中長期的な見直しを行う余力もなく、現状を維持するのに精一杯な企業が多い。,,,
,,□,職業安定所（職員）,・求人内容が医療・福祉やサービス業中心であり、その傾向はしばらく変化がない。,,,
,,□,職業安定所（職業紹介）,・今後も求人数の増加傾向と求職者の減少傾向が続き、有効求人倍率は高い水準で推移する。,,,
,,□,学校［大学］（就職支援業務）,・2019年３月卒業生への採用については、各企業共に意欲的に採用活動を行っている。特に中小企業は、採用予定者の充足状況が芳しくなく、多くの企業は、将来的な労働人口不足問題を抱えている。その対策として、次年度採用に向けたインターンシップの開催等で意欲的に動いている。求人の動きは、景気だけが問題ではない。,,,
,,▲,人材派遣会社（社員）,・労働者派遣法の個人単位３年の抵触日が出始める影響で、稼働派遣スタッフ数が落ち込んでいく。,,,
,,×,人材派遣会社（社員）,・事務系の求人は10月頃まで少ない。,,,
,,,,,,,
　12．沖縄（地域別調査機関：一般財団法人南西地域産業活性化センター）,,,,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,,
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由,,,
"家計
動向
関連

(沖縄)",,◎,－,－,,,
,,○,百貨店（店舗企画）,・９月から10月にかけて改装を予定しており、動員が見込まれるため、やや上向き傾向になると予測している。,,,
,,○,スーパー（企画担当）,・ポイント施策による売上増が見込める。,,,
,,○,コンビニ（経営者）,・観光客が県産品を買うのが目立ってきている。,,,
,,○,観光型ホテル（マーケティング担当）,・現段階の予約状況から推測する今後２～３か月後の客室稼働率は、前年同月実績を若干上回る見込みである。,,,
,,○,その他サービス［レンタカー］（営業）,・９月に大きなイベントがあり、また３連休が多いことから観光客数の伸びが受注増につながるとみている。,,,
,,○,住宅販売会社（営業担当）,・前月同様、消費税の引上げに向け、相談件数が今後も増えるとみられる。,,,
