,,▲,広告代理店（営業担当）,・前年と比べて受注量が減っている。広告費を抑えている企業が多い印象である。,,,
,,▲,会計事務所（経営者）,・米国の関税問題があり、顧客企業の動向が不透明である。収束するか否かで大きな影響を受ける。最小限であってもマイナスの影響が予想される。,,,
,,×,－,－,,,
"雇用
関連

(中国)",,◎,－,－,,,
,,○,民間職業紹介機関（人材紹介・派遣担当）,・転職を考える顕在層が夏のボーナスを軸に例年増えてくる。前年は５月と８月を比較して、求職者からの利用問合せ数が８月は220％アップした。,,,
,,□,人材派遣会社（経営企画担当）,・米国の関税の動向が不明であるため先が見通せない。求人企業の需要に変化は今のところないが、自動車関連を中心に求人数を絞る動きが出ることを警戒している。,,,
,,□,人材派遣会社（支店長）,・求職者が増えてこない限り、景気が良くなることはない。,,,
,,□,求人情報誌製作会社（総務担当）,・県の補助金が求人広告利用社数の追い風となれば良くなるだろうが、今のところ補助金の効果ははっきりしない。,,,
,,□,求人情報誌製作会社（新卒採用担当）,・現状、２～３か月で見通しが変わる打開策などはない。,,,
,,□,求人情報誌製作会社（広告担当）,・新卒、中途いずれも求人数の増加が見込まれ、人材確保ができていない企業が多くなっている。こうした状況で、特に理系学生においてはジョブ型採用が進んでおり、あらかじめ企業を絞って就職活動をする傾向がある。中途も即戦力の20代後半から35歳未満は超売手市場で、今までに類を見ないほど活況を呈している。,,,
,,□,新聞社［求人広告］（担当者）,・輸出企業は注意深くなっているが、当面悪化する要因は見当たらない。あるとすれば、人手不足による経営への影響とみられる。,,,
,,□,職業安定所（事業所部門）,・米国の関税などの影響により、自動車関連企業など、製造業を中心にマイナス要素があり、建設業も人手不足と資材の高騰により不安感が強い。ただし、その影響が景気に反映するまでは、もうしばらく猶予があるようにみえる。,,,
,,□,職業安定所（事業所担当）,・米国の関税や物価上昇等により企業活動がこれから大きく影響を受けるという声は、管内企業からは今のところ聞こえてこない。,,,
,,□,民間職業紹介機関（職員）,・新規人材の採用よりも、雇用維持への懸念が高まっている業界や団体においては、行政との意見交換を行うなど、今後の成り行きを注視している状況であり、投資控えにもつながっている。,,,
,,□,学校［短期大学］（進路指導担当）,・一般企業を希望している学生の多くが内々定を得ており、企業からの求人にこたえられない状況が今後予想される。,,,
,,▲,人材派遣会社（求職者対応）,・例年夏に近づくと、求人数も求職者数も落ち着く。,,,
,,▲,人材派遣会社（事業部長）,・今後は米国の関税の影響が顕在化するにつれ、派遣求人を含めた求人全般が落ち込むと見込んでいる。,,,
,,▲,職業安定所（職員）,・米国の関税の影響が求人数の減少につながっている。物価は高騰を続けており、賃上げは追い付いていない。,,,
,,×,－,－,,,
,,,,,,,
　10．四国（地域別調査機関：四国経済連合会）,,,,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,,
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由,,,
"家計
動向
関連

(四国)",,◎,－,－,,,
,,○,商店街（代表者）,・今後も、商店街周辺でイベントの予定があり夏祭りも予定されている。クルーズ船の来航数も過去最高水準であり、来航時には多くのインバウンドが食品を中心に消費するとみられる。,,,
,,○,スーパー（人事）,・備蓄米放出の影響は読めないが、電気料金の政府補助などの支援が多少は効いてくるとみられる。,,,
,,○,コンビニ（商品担当）,・備蓄米放出に期待している。また、関税の問題もあり国内１次産業への政府の支援が緊急課題になっているとみられる。,,,
,,○,コンビニ（総務）,・現状の売上は堅調である。芸術祭の夏会期を控え更に来客数が増加するとみられる。,,,
,,○,家電量販店（店員）,・夏のボーナス商戦において、季節商材やパソコンの最新版ＯＳへの移行により、販売量が増加するとみられる。,,,
,,○,通信会社（営業担当）,・来客数は比較的安定しているが、夏に向けて季節商材等を目的にした来客数増加を期待する。,,,
,,○,観光遊園地（主幹）,・国際航空路線が再開されることで、インバウンドが増加することを期待する。,,,
,,○,設計事務所（所長）,・依然として、マンションの建設棟数が堅調に推移している。下請事業者への価格転嫁が大きく進んだとみられる。,,,
,,□,商店街（代表者）,・地方都市においても、各国政治家の発言が地域経済に影響を及ぼしている。,,,
,,□,商店街（代表者）,・政府の備蓄米放出で米の価格が落ちつくことを期待するが、その他の生活関連に係る費用の上昇は続いており、厳しい状況が続いている。,,,
,,□,商店街（常務理事）,・物価上昇が収まらないなかで、夏の参議院選挙を迎える。少数与党の政局では不透明感が強まり、経済は安定感を欠く状況がしばらく続くとみられる。景気回復も遠のいているとみられる。,,,
,,□,スーパー（店長）,・買上点数に大きな変化はない。,,,
,,□,スーパー（店長）,・芸術祭の夏会期開催や夏季休暇シーズンを迎えるなど、現状とよく似た状況になる。,,,
,,□,スーパー（企画担当）,・商品単価の上昇が続いているため売上は増加するとみられる。今後、さまざまな補助制度が施行されると消費のきっかけになるとみられる。,,,
,,□,スーパー（企画担当）,・米の価格上昇などに起因する生活に対する不安など、消費者にとっては先行きが不透明である。随意契約による備蓄米の放出など商品や価格が安定することで消費のマインドも上昇するとみられる。,,,
,,□,コンビニ（店長）,・物価上昇が続くが、売上、来客数共に増加傾向が続いていたが、現在はやや停滞しているとみられる。物価の上昇が所得の上昇に追い付いていないとみられる。,,,
,,□,衣料品専門店（経営者）,・来客数がやや減少しているとともに、商品単価が上昇しているため、客の購買意欲が低くなっている。,,,
,,□,衣料品専門店（営業責任者）,・客との会話で米の価格上昇などで支出が増える旨の話が多く、消費が改善するような話は全く出てこない。,,,
,,□,家電量販店（副店長）,・物価、光熱費等の上昇により、商品購入に慎重になる客が増えている。今後も、来客数の増加は期待できない。,,,
,,□,乗用車販売業（営業担当）,・人気車種が再販してもすぐにオーダーストップになる。,,,
,,□,乗用車販売店（従業員）,・物価上昇に伴い客の購買意欲も停滞しているため、しばらくは現状のままであるとみられる。,,,
,,□,乗用車販売店（役員）,・世界情勢が不安定であり、先行きは変わらないとみられる。,,,
,,□,その他小売［ショッピングセンター］（館長）,・購入に慎重な部分はあるが、来客数は引き続き好調に推移しており、現状は維持できるとみられる。,,,
,,□,観光型旅館（経営者）,・７月から国際直行便が復活するため、当面は宿泊客数が順調に推移するとみられる。,,,
,,□,都市型ホテル（経営者）,・先行き不透明である。,,,
,,□,タクシー運転手,・入社や入学で人の動きは多少あったものの、飲食に結びついていない。また、インバウンドの来訪により、ホテルや飲食業は多少良くなっているが、運送業には変化はみられない。現状が続くとみられる。,,,
,,□,通信会社（支店長）,・物価高騰の影響が生活行動に影響している。,,,
,,□,競艇場（マネージャー）,・ＳＧレースがあり売上は増加するとみられるが、イベントによる一過性のものであり、景気に変動はないとみられる。,,,
,,□,美容室（経営者）,・景気の良い話がないと変わらないとみられる。,,,
,,▲,一般小売店［文具店］（経営者）,・前年と比較しても大きな変化はない。売上も一定程度あるが、２、３か月後には国内外の事情により客が消費を抑制するとみられ、景気は悪化するとみられる。,,,
,,▲,一般小売店［生花］（経営者）,・大手企業側はインターネット受注で配達料無料を変えず、単価設定も安いため、下請企業は配達人を雇ったり時給を上げるのが難しい状況である。,,,
,,▲,百貨店（マネージャー）,・米国大統領の関税政策により先行きは不透明である。,,,
,,▲,スーパー（統括担当）,・物価高の収束を期待しているが、先行きは不透明である。,,,
,,▲,スーパー（財務担当）,・実質賃金が下落している状況が続いており、客の節約志向が強まり、来客数や来店頻度が減少していくとみられる。,,,
,,▲,コンビニ（店長）,・商品価格は上昇し、商品の容量は減少し、品質は低下している。売上は増加しないとみられる。,,,
,,▲,衣料品専門店（経営者）,・米国大統領の今後の動向次第である。,,,
,,▲,一般レストラン（経営者）,・これまでは客に提供する米の原価は余り気にしていなかったが、米の価格上昇が、収益を減少させている。また、客が米を注文することが多くなった。以前は食べない客が４割ほどいたが、今は１割ほどもいない。,,,
,,▲,旅行代理店（部長）,・物価上昇や参議院選挙等、情勢の不安定感が消費に影響しているとみられる。,,,
,,▲,タクシー運転手,・暑くなったことで、遍路の仕事もほぼなくなり、街の動きも活発ではなく、悪くなるとみられる。,,,
,,▲,美容室（経営者）,・営業日数を減らした分、景気は悪くなるとみられる。,,,
,,×,一般小売店［酒］（経営者）,・物価高であり、し好品を購入する余裕がないとみられる。,,,
,,×,衣料品専門店（経営者）,・全ての価格が上昇しており、消費はこれからまだ悪くなるとみられる。,,,
"企業
動向
関連

(四国)",,◎,－,－,,,
,,○,食料品製造業（商品統括）,・為替は安定しており、高値ではあるが原料輸入価格が安定している。結果として、利益も安定するとみられる。,,,
,,○,木材木製品製造業（営業部長）,・受注増加が見込まれる状態になっているが、価格改定の交渉に難航している。社員の昇給など固定費の増加が、利益を圧迫している。,,,
,,○,パルプ・紙・紙加工品製造業（経理）,・ゴールデンウィークに外出や掃除をする人が増加したため、ウェットクリーナーの需要が高まり、４月は売上が増加した。しかし、その反動で５月の売上が減少するとともに、原材料価格の高騰が続いているため、今後、価格転嫁を実施していく。,,,
,,□,食料品製造業（経営者）,・労務費、人件費、物流費、エネルギー価格、原材料費の全てが上昇している。受注量減少の懸念により、製品価格に転嫁できず、利益がひっ迫していくとみられる。,,,
,,□,繊維工業（経営者）,・地方によって景気の浮き沈みがあるものの、おおむね現状で推移するものとみられる。,,,
,,□,化学工業（所長）,・地方の人口減少は止まらず、先行きの不安から買い控えが顕著である。,,,
,,□,鉄鋼業（総務部長）,・一定の受注見通しがあるため、大きな変化はない。,,,
,,□,一般機械器具製造業（経理担当）,・米国の関税政策による影響や地政学的リスクの高まり等により、先行きの不透明感が増すなか、世界経済の下振れが懸念される。,,,
,,□,電気機械器具製造業（経営者）,・現在、企業や地域は景気上昇に向けて努力している。特に、カーボンニュートラルの件で、バイオマスを利用する動きが地域内で活発化している。この取組が景気の上向きに資するとみられる。,,,
,,□,電気機械器具製造業（経理）,・米国大統領の関税による企業業績や物価高の影響がグローバルに響いており、先行きは、非常に不透明な状況であり見当がつかない。,,,
,,□,建設業（経営者）,・景気が改善していく要因が見当たらない。,,,
,,□,建設業（経営者）,・民間の建築工事はあまり期待できないため、公共工事次第である。,,,
,,□,通信業（企画・売上管理）,・現段階では２～３か月先について特段大きなトピックスはない。,,,
,,□,通信会社（総務担当）,・新規受注の獲得が進んでおらず、ボランティア活動等の社外イベントの参加者数がほとんど変わっていない。,,,
,,□,広告代理店（経営者）,・芸術祭、大阪・関西万博等の影響で、旅行やホテル等の観光関係客先の仕事は増加するとみられる。一方、その他の多くの客先は、米国の関税政策の影響が予測できないため、現状維持又は経費削減傾向である。したがって、余り変わらないとみられる。,,,
,,□,税理士事務所,・業績が良くなる要素が、現時点では見られない。,,,
,,▲,金融業（副支店長）,・物価の上昇に対して、地域の給与水準は追い付いていないことから、消費が低迷している。,,,
,,×,－,－,,,
"雇用
関連

(四国)",,◎,－,－,,,
,,○,職業安定所（求人開発）,・米国の関税による影響、物価上昇、為替変動といった状況が落ち着いてきたことから、様子を見ていた企業が対策を取っていくため、景気はやや良くなるとみられる。,,,
,,□,民間職業紹介機関（所長）,・求人の動きは業種でばらつきがあり、全体的に大きな変化は期待できず、景気は変わらないとみられる。,,,
,,▲,人材派遣会社（総務部長）,・求職者の動向次第で悪くなるとみられる。,,,
,,▲,求人情報誌（営業）,・人材確保に関して、引き続き県内企業で苦戦が続き、打開策がないため、景気は緩やかに悪くなるとみられる。,,,
,,▲,求人情報誌製作会社（経営者）,・学生向けの短期アルバイト募集が落ち着くタイミングであり、正社員の募集もお盆までは減少傾向にあるため、やや悪くなるとみられる。,,,
,,▲,新聞社［求人広告］（担当者）,・物価及び賃金が上昇し、地方の中小企業は厳しい状況であり、対策が必要である。,,,
,,×,－,－,,,
,,,,,,,
　11．九州（地域別調査機関：公益財団法人九州経済調査協会）,,,,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,,
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由,,,
"家計
動向
関連

(九州)",,◎,－,－,,,
,,○,商店街（代表者）,・農林水産大臣が米の価格の見直しを発表したことで、客の消費のなかでおかずに対するウエイトが上がり、それに伴い売上が上がることが期待される。,,,
,,○,百貨店（リーダー）,・お中元の時期になり、来客数が増えることが予測される。,,,
,,○,スーパー（店長）,・備蓄米放出の効果は大きく、客からも備蓄米、外国産ブレンド米の入荷の問合せが多くなっている。ガソリン価格や米価格等の値下げが実施されると景気は上向きになると判断している。,,,
,,○,コンビニ（経営者）,・盛夏に向けて人の動きは更に活発になると予想される。,,,
,,○,家電量販店（店長）,・物価高の影響で、消費者は食料品や日用品に目が向いており、単価の高い家電は苦戦している。,,,
,,○,家電量販店（店員）,・米の価格低下をきっかけとして他の商品にも波及すれば、景気は良くなる。,,,
,,○,家電量販店（従業員）,・気温の上昇により冷房器具の需要が増える見込みである。,,,
,,○,乗用車販売店（役員）,・新車や配車台数及び新車受注可能車種の回復などに期待している。,,,
,,○,その他専門店［コーヒー豆］（経営者）,・これから梅雨に入り気温が上がってくるため、店頭でのリキッドコーヒーの需要が伸びてくる。水出しコーヒーなどの需要も出て夏場の売上も上がると予想される。,,,
,,○,旅行代理店（統括者）,・今後も大阪・関西万博や大型レジャー施設開業が需要を後押しすると予測している。,,,
,,○,タクシー（統括者）,・引き続き料金改定の施策を実施し、加えて乗務員確保の新たな取組を検討している。,,,
,,○,通信会社（業務担当）,・低圧の新電力販売をサブ事業として行っており、販売手数料増額が予定されている。,,,
,,○,理容室（経営者）,・これから暑くなるため、業種的に来店間隔が短くなると予想され、景気は良くなると期待している。,,,
,,□,商店街（代表者）,・今後どこまで物価が上がるか不透明な状況と米国経済の先行きに対して客の反応は敏感になっている。物価上昇が大きく影響していくと予想され、商材にもよるが全体は厳しい状況である。,,,
,,□,商店街（代表者）,・小売店舗は徐々に減少しているが、一方で飲食店は出店している。しかし、空き店舗状態が長期間になっているため、商店街の人通りはますます減少している。,,,
,,□,商店街（代表者）,・先行き不安なままでは政府による給付金等が行われても貯蓄に回るだけで景気が上向くとは予想できず、思い切った物価高対策が講じられることに期待している。,,,
,,□,商店街（代表者）,・景気は２～３か月先も変わらず最悪の状況が続くと予想される。,,,
,,□,商店街（代表者）,・物価高は継続しており、また、米国の関税問題の行く末も不透明であるため、厳しい状況が続くと予想される。,,,
,,□,商店街（代表者）,・米国の経済政策が予断を許さない状況である。日本経済、世界経済は上向きとは考えられず、不況の影響を受ける可能性があり、今後も物価高騰によって景気は悪くなっていく。,,,
,,□,百貨店（企画担当）,・高額でもファッション性のあるものは前年以上に売れているが、低価格帯でもその価格に見合わなければ需要がなく、価格への対応が十分にできていない。広告媒体を増やして集客と販売量を増やすことで売上を維持・向上させていくことが困難な状況であり、短期的に商況を改善させる有効な打ち手が見当たらない。,,,
,,□,百貨店（経理担当）,・食品等の催事及び飲食は好調に推移しているが、衣料品全般の売上が依然として低迷している。インバウンドの国内需要は若干であるが増加傾向である。,,,
,,□,百貨店（営業担当）,・商品単価の上昇が今後も継続すると予測されるが、大催事である物産催事での飲食を楽しむ姿が見受けられ、目当ての商品を長蛇の列で待ち購入する姿勢は継続している。また、今後も街や観光地への行楽やクルーズ船寄港、チャーター機での国内外からの動向が見込め、インバウンド需要や土産・工芸品・特産品需要と父の日キャンペーン等が期待できる。加えて、全店での売出しやお中元ギフトセンター開設で国内やインバウンドの来店客の増加や決済手段変化での購買が見込まれる。,,,
,,□,百貨店（業務担当）,・コロナ禍以降、人出には大きな変動はない。価格の変動により売上の増減はあるが、必要な物を必要なときに購入する状況は変わらない。,,,
,,□,百貨店（経営企画担当）,・継続する物価高の影響により、客の消費マインドが上がりにくい傾向も続いている。クリアランスセールによる衣料品や雑貨の動きや夏休みによる帰省土産等の活発化を期待したいが、先行き不透明な状況は長引くと予測される。,,,
,,□,スーパー（店員）,・令和の米騒動となっているが、いまだ現状を受け入れられない。卵や牛乳、葉物野菜などは多少の価格変動には驚かなくなっているが、主食の米価が安定しない限り客の財布のひもは緩まない。食べ盛りの子供がいる家庭では大変だと察するが、半年後までは景気の上昇は見込めない。,,,
,,□,スーパー（総務担当）,・スーパーマーケット業界の構造的な問題で、大手資本の地方進出による顧客争奪戦が激しくなっており、地域密着型の事業を展開しているローカルスーパーにとっては、商品の調達コストの違いや設備の利便性等に差が生じてしまうことがネックとなっている。,,,
,,□,スーパー（企画担当）,・政府の経済対策に目立ったものがないため、景気の好転は望めない。むしろ消費者の購買意欲の低下が進めば、やや悪くなるとみられる。,,,
,,□,コンビニ（経営者）,・景気上昇につながる要因がみえない。,,,
,,□,コンビニ（経営者）,・米国の政策による消費者心理への影響を危惧しており、景気の見通しはできない。,,,
,,□,コンビニ（経営者）,・今後も物価高の影響で、コンビニエンスストアに行く人が減少する。,,,
,,□,コンビニ（エリア担当）,・参議院選挙に向けて、景気が上向きになる施策が実施されることを期待している。,,,
,,□,衣料品専門店（店長）,・特別な行事はなく、景気は落ち着いている。,,,
,,□,衣料品専門店（取締役）,・この春に買い控えた分を７月のバーゲンセールで購入するか、あるいは様々な物の値上げが行われているため、引き続き財布のひもは固いことが考えられる。,,,
,,□,家電量販店（店長）,・数週間連続で週末の来客数が減少しており、上向きには期待できず危惧している。,,,
,,□,乗用車販売店（従業員）,・８月のお盆時期は毎年閑散期であり、５月と比べても台数は変わらない。,,,
,,□,乗用車販売店（代表）,・景気が変わるような要因が見当たらない。,,,
,,□,乗用車販売店（役員）,・今後も改良車種の追加が予定されているため、来客数や注文数は期待できる。,,,
,,□,その他専門店［書籍］（副店長）,・１階テナントが開業する予定であるが、商業施設ビルへの人の流入は変わらないと予想され、現状維持となる見込みである。,,,
,,□,観光型ホテル（専務）,・大阪・関西万博が開催されている間は、団体客の減少は続くとみられる。,,,
,,□,観光型ホテル（支配人）,・物価高騰等で消費は減少傾向ではあるが、夏休みの時期に入るためトータルでは横ばいを見込んでいる。,,,
,,□,都市型ホテル（販売担当）,・物品の価格変動が多いため、先行きが不透明である。,,,
,,□,都市型ホテル（スタッフ）,・３か月先は夏休み期間ではあるが、インバウンドの動きなど現時点の入込具合を考慮すると販売量が下がる傾向となり、今月と同等か下がる予測である。,,,
,,□,旅行代理店（統括者）,・旅行業界にとって大きなトピックはなく変わらないものと予測している。,,,
,,□,タクシー運転手,・夏に向けて夜間の稼働率に期待している。,,,
,,□,タクシー運転手,・節約志向は変わらないものの、梅雨に入りタクシー需要が増加することを期待している。,,,
,,□,通信会社（企画担当）,・販売量や客の様子から景況感の良しあしの変化は見受けられない。,,,
,,□,通信会社（社員）,・前年と比較すると、単価の良い商材を扱い始めたため経営状態が良くなっている。,,,
,,□,通信会社（営業担当）,・大きな動きがないため現状と変わらない。,,,
,,□,テーマパーク職員,・インバウンドの来館者数が増加傾向にある一方、邦人来館者数は若干減少傾向である。また、今期春闘での賃上げ率は高水準となっているが、物価高騰によるレジャー費削減の懸念もあり、身の回りの景気は全体として変わらないと予想される。,,,
,,□,観光名所（職員）,・現状のまま夏休みに向けて推移していくのではないかと予想される。,,,
,,□,ゴルフ場（従業員）,・４～５月は増加しているが、６～７月の予約状況は厳しい。,,,
,,□,競馬場（職員）,・現状、直接的に景気の動向を大きく左右する要素は見当たらない。,,,
,,□,美容室（経営者）,・２～３か月先には景気回復見込みと予想される。しかし、美容業界の動きは悪く、新しい商品が出ることを期待しているが、現状では景気は横ばいが続く。,,,
,,□,美容室（店長）,・米価格が高騰しており、一般消費者が購入しにくい状況となっているため景気は変わらない。,,,
,,□,その他サービスの動向を把握できる者（所長）,・受注額は例年同様に推移しているため、大きな変化はないとみられる。,,,
,,□,設計事務所（所長）,・結果は３か月先に出るため、今月の景気は変わらないと予想される。,,,
,,□,住宅販売会社（従業員）,・住宅ローン金利変動の動きが出てきている時期でもあり、今後も客がタイミングを計りながら動くと推察され、今の状況は継続していくと予測される。,,,
,,▲,商店街（代表者）,・梅雨時期に入ると客足が鈍り、来客数や売上は低くなると予想される。,,,
,,▲,一般小売店［精肉］（店員）,・商品の仕入価格が高騰しており、適正に価格転嫁ができなければ粗利益が減少すると予測している。また、適正に価格転嫁ができたとしても、一定数の取引量は減少すると見込まれる。,,,
,,▲,一般小売店［茶］（販売・事務）,・米を始め物価高騰が原因で節約する傾向もあり、今後も売上は期待はできない。,,,
,,▲,百貨店（総務担当）,・地域電力会社による電力単価値上げの改定料金の影響で、景気は若干悪くなる。,,,
,,▲,百貨店（企画担当）,・夏のクリアランスセールが落ち着き、来客数が減少すると予想される。,,,
,,▲,百貨店（企画担当）,・現時点では判断する情報として、物価水準や所得水準の改善につながるものが少なく、現状では若干景気が悪くなると判断をしている。,,,
,,▲,百貨店（営業企画担当）,・物価上昇の懸念は継続し、消費者の購買意欲の向上にはならないと予想される。,,,
,,▲,スーパー（経理担当）,・単価の上昇をけん引している米の価格が更に上昇すれば、買い控えが起きる可能性がある。,,,
,,▲,コンビニ（店長）,・米国政権により経済の予測が難しくなっているため、動きが止まっている。,,,
,,▲,衣料品専門店（店員）,・物価高が続けば、婦人服販売はますます厳しくなると予想される。,,,
,,▲,住関連専門店（経営者）,・米国の関税で先行き不安となっており、また、米の大幅な値上がりが続き、消費者は耐久消費財に対する買物を控え慎重になると予想される。このため、国は賃上げを推し進めているが、中小零細企業では賃金改定の原資が確保できない。,,,
,,▲,住関連専門店（従業員）,・今後の夏季商材は、単価も低くなるために景気は落ち着くのではないかと予測される。,,,
,,▲,その他小売の動向を把握できる者［ショッピングセンター］（支配人）,・現状は前年比105％程度で推移しており順調にみえるが、米を始め生活必需品の物価高騰により消費者からは懐事情が厳しいという声が少なくない。一方で米の売価の見直しや映画のヒット作などあれば現状を維持していける可能性も十分にある。,,,
,,▲,その他小売の動向を把握できる者［ショッピングセンター］（統括者）,・韓国大統領と円高傾向の影響で、韓国人による売上減少は加速し、それを補うほどの中華圏の売上の伸びは想定されない。,,,
,,▲,一般レストラン（スタッフ）,・仕入原価の高騰による値上げで、顧客離れが続いていく。,,,
,,▲,観光型ホテル（管理）,・このままの状態が続くと人件費を上げることができず、中小企業の人材不足は加速する。,,,
,,▲,旅行代理店（職員）,・７月、８月の予約が前年を下回っている。,,,
,,▲,通信会社（役員）,・米価の高止まりや夏季の酷暑対策のため、エアコン等の使用量が増えると予測される。,,,
,,▲,通信会社（企画担当）,・市場全体的に飽和感があり、対策を講じる手立てがない。,,,
,,▲,ゴルフ場（従業員）,・梅雨時期の長期化や猛暑など天候は不確実だが、予約数は前年より少ないと予想される。,,,
,,▲,ゴルフ場（営業）,・前年の猛暑の影響を考慮して、来場を控えている客が多い。,,,
,,▲,その他サービスの動向を把握できる者［介護サービス］（管理担当）,・収入の柱である介護報酬は３年ごとの改定であるため今後２年間は変わらず、コストの増加や賃金改定の財源確保は困難であり、更に厳しい経営状況が想定される。,,,
,,▲,設計事務所（所長）,・継続して住宅建設の材料や製品単価及び生活必需品の価格上昇、高止まりが予想され、仕事の対価は増える見込みがない。また、米国の関税政策やロシアによるウクライナ侵攻等の世界情勢の先行きが不透明である。,,,
,,▲,設計事務所（代表）,・物価高騰や金利の上昇により、景気はやや悪くなる。,,,
,,▲,住宅販売会社（従業員）,・世界情勢では、戦争や米国の関税で世界経済が迷走している。日本経済もそれに伴い、倒産企業も出てくると予測され、景気が悪くなると見込んでいる。,,,
,,▲,住宅販売会社（代表）,・物価高は続いており、金利の上昇傾向を踏まえ悪くなっていくと予想している。住宅の補助金などを活用することにより、性能を有する省エネ住宅に関しては、上向いていくと考えている。,,,
,,×,商店街（代表者）,・前年度と同様に、８月頃まで買い控えや来客数減少が続く。,,,
,,×,高級レストラン（経営者）,・夏季市場に向けて広告や宣伝などの発信を予定しているが、先行きが不透明である。,,,
,,×,スナック（経営者）,・５月は多くの同業者で売上が悪い状態になっている。米価格が下がらず、米国の関税政策や所得が上がらないなど景気が良くなる状況でないため、消費者の意識が節約モードとなり、売上の向上は見込めない。この傾向が来月も続けば、本格的な不景気になることも考えられ懸念される。,,,
,,×,観光型ホテル（営業）,・例年より夏場の受注状況が芳しくない。,,,
"企業
動向
関連

(九州)",,◎,－,－,,,
,,○,化学工業（総務担当）,・損益の前年との比較では回復傾向にあり、同様の状況が続くと予想される。,,,
,,○,電気機械器具製造業（取締役）,・自らの事業領域の確立により、外部からの様々な影響を和らげることが必須である。,,,
,,○,輸送用機械器具製造業（営業担当）,・関税問題はあるが現時点では生産数への影響は余りみられず、３か月内示から見ても計画台数に対し上振れ傾向で推移している。,,,
,,○,新聞社［広告］（担当者）,・広告に関する問合せが増えている。,,,
,,○,経営コンサルタント（社員）,・来月から新しい取組を企画しており、その成果を大いに期待している。,,,
,,□,農林水産業（経営者）,・鶏肉の相場は過去になく高騰を維持しており、年内もこの状況が続くと予想され、米国の関税や鳥インフルエンザの影響がその原因とされる。梅雨時期は期待できないが、今年の夏は暑い予想であるため、ビールの消費に合わせた焼き鳥などの商材が伸びると期待している。,,,
,,□,家具製造業（従業員）,・インバウンド需要が少しずつ落ち着いてきており、今後は米国の関税政策における材料の安定供給に不安が残る。,,,
,,□,出版・印刷・同関連産業（営業担当）,・対象期間に新版出版の予定が少なく、現時点では大口受注の見込みがないため現状と変わらない。,,,
,,□,一般機械器具製造業（経営者）,・客の一部は年末から徐々に回復の見込みを聞くものの、その他の客の回復状況はまちまちとなっており不透明感が拭い去れない。,,,
,,□,一般機械器具製造業（経営者）,・受注量や生産量は、今後も不安定な状態が続くと予測している。自動車関連の輸出が伸びなければ手の打ちようがなく、現状の正確な把握が重要と捉えている。,,,
,,□,電気機械器具製造業（経営者）,・しばらくは現状維持で推移すると予想される。,,,
,,□,その他製造業［産業廃棄物処理業］,・取引先との会話では、関税問題やその他半導体市場低迷が要因となり、年内の回復は厳しい状況である。,,,
,,□,輸送業（従業員）,・時期的に人出が収まり、同時に物量も落ち着き、業界に少し余裕が出てくると予測される。,,,
,,□,輸送業（従業員）,・同業との情報交換では、物流施設内で空坪が散見されているとの報告がある。1000坪単位で空坪がある倉庫もあり、メーカーが撤退している状況がうかがえ、代わりに埋まる貨物がない状況である。特に、九州は自動車産業が盛んでいることから大手自動車メーカーの影響が今後どのような形であらわれるか危惧している。,,,
,,□,輸送業（総務担当）,・変わらない物価上昇や人件費の増加、米国関税による輸出の減少などの影響が景気の上昇を妨げており、物量が増える見通しはない。,,,
,,□,通信業（職員）,・今年度の受注目標と比較して、営業件名情報が不足している。今後の営業活動及び情報収集で充当できると考察するが、受注量が目標を超えて大きく好転する要素は現状では予測できない。,,,
,,□,通信業（経理担当）,・業種及び顧客の特性上、米国の関税問題の影響を受けにくいため、現在の業況を維持できると予測している。,,,
,,□,金融業（調査担当）,・賃上げの影響や物価の上昇は続くと予想され、景気の状況は変わらない。,,,
,,□,金融業（調査担当）,・物価や経済の情勢が大きく変化することはなく、消費者の購買意欲や企業動向は当面現状程度で推移するものと予測される。,,,
,,□,金融業（営業担当）,・政府の物価高騰対策が具体化し、個人消費の改善は期待できるものの、米国の関税の影響も出始め、先行きは変わらない見通しである。,,,
,,□,不動産業（経営者）,・今後の仕事の受注状況などに、変化が見受けられない。,,,
,,□,広告代理店（役員）,・景気の先行きが不透明である。,,,
,,□,経営コンサルタント（代表取締役）,・自社Ｗｅｂのアクセス数や問合せ件数に大きな変化はない。,,,
,,□,経営コンサルタント（社員）,・米の価格高騰により、主食をパン類に切り替えるなど食材の工夫がされているため、おにぎりや弁当の売上が落ちている。,,,
,,▲,金属製品製造業（事業統括）,・米国の関税の影響により、先行きの見通しが不透明と予想している。,,,
,,▲,電気機械器具製造業（総務担当）,・今後の顧客動向では、状況がやや悪くなる。,,,
,,▲,金融業（従業員）,・乗用車の販売が持ち直しているほか、スーパーマーケット等の売上も増加している。一方、住宅や家電の販売は弱含んでおり、物価上昇によるコスト高や人手不足のほか、米国政権の関税措置の動向を見極める慎重な姿勢を示す先が少なくない。,,,
,,▲,金融業（営業）,・今のところ景気が良くなる要因はないが、消費税減税には期待している。,,,
